num_sylls,combo_no,syll_no,note_vals,add_length,bar_start,bar_end
7,7-770,5,0.5,"","",""
7,7-770,6,0.5,"","",""
7,7-770,7,1,.,"",|
7,7-772,1,0.5,"",|#,""
7,7-772,2,1.5,..,"",|
7,7-772,3,1,.,"",""
7,7-772,4,1,.,"",|
7,7-772,5,0.5,"","",""
7,7-772,6,0.5,"","",""
7,7-772,7,1,.,"",|
7,7-786,1,1.5,..,|#,""
7,7-786,2,0.5,"","",|
7,7-786,3,0.5,"","",""
7,7-786,4,1.5,..,"",|
7,7-786,5,0.5,"","",""
7,7-786,6,0.5,"","",""
7,7-786,7,1,.,"",|
7,7-788,1,1,.,|#,""
7,7-788,2,1,.,"",|
7,7-788,3,0.5,"","",""
7,7-788,4,1.5,..,"",|
7,7-788,5,0.5,"","",""
7,7-788,6,0.5,"","",""
7,7-788,7,1,.,"",|
7,7-790,1,0.5,"",|#,""
7,7-790,2,1.5,..,"",|
7,7-790,3,0.5,"","",""
7,7-790,4,1.5,..,"",|
7,7-790,5,0.5,"","",""
7,7-790,6,0.5,"","",""
7,7-790,7,1,.,"",|
7,7-984,1,1.5,..,|#,""
7,7-984,2,0.5,"","",|
7,7-984,3,1,.,"",""
7,7-984,4,0.5,"","",""
7,7-984,5,0.5,"","",|
7,7-984,6,1,.,"",""
7,7-984,7,1,.,"",|
7,7-986,1,1,.,|#,""
7,7-986,2,1,.,"",|
7,7-986,3,1,.,"",""
7,7-986,4,0.5,"","",""
7,7-986,5,0.5,"","",|
7,7-986,6,1,.,"",""
7,7-986,7,1,.,"",|
7,7-988,1,0.5,"",|#,""
7,7-988,2,1.5,..,"",|
7,7-988,3,1,.,"",""
7,7-988,4,0.5,"","",""
7,7-988,5,0.5,"","",|
7,7-988,6,1,.,"",""
7,7-988,7,1,.,"",|
7,7-1002,1,1.5,..,|#,""
7,7-1002,2,0.5,"","",|
7,7-1002,3,0.5,"","",""
7,7-1002,4,1,.,"",""
7,7-1002,5,0.5,"","",|
7,7-1002,6,1,.,"",""
7,7-1002,7,1,.,"",|
7,7-1004,1,1,.,|#,""
7,7-1004,2,1,.,"",|
7,7-1004,3,0.5,"","",""
7,7-1004,4,1,.,"",""
7,7-1004,5,0.5,"","",|
7,7-1004,6,1,.,"",""
7,7-1004,7,1,.,"",|
7,7-1006,1,0.5,"",|#,""
7,7-1006,2,1.5,..,"",|
7,7-1006,3,0.5,"","",""
7,7-1006,4,1,.,"",""
7,7-1006,5,0.5,"","",|
7,7-1006,6,1,.,"",""
7,7-1006,7,1,.,"",|
7,7-1028,1,1,.,|#,""
7,7-1028,2,0.5,"","",""
7,7-1028,3,0.5,"","",|
7,7-1028,4,1.5,..,"",""
7,7-1028,5,0.5,"","",|
7,7-1028,6,1,.,"",""
7,7-1028,7,1,.,"",|
7,7-1030,1,0.5,"",|#,""
7,7-1030,2,1,.,"",""
7,7-1030,3,0.5,"","",|
7,7-1030,4,1.5,..,"",""
7,7-1030,5,0.5,"","",|
7,7-1030,6,1,.,"",""
7,7-1030,7,1,.,"",|
7,7-1036,1,0.5,"",|#,""
7,7-1036,2,0.5,"","",""
7,7-1036,3,1,.,"",|
7,7-1036,4,1.5,..,"",""
7,7-1036,5,0.5,"","",|
